"Date","Div","Res","Odds","OddsDraw","OddsOpp","Season","Team","Res_1_0","Odds_Intervall","Country"
"2009-10-02","D2","Draw",1.99,3.35,3.54,2009,"Aachen",0,"(1.5,2]","DE"
"2009-10-16","D2","Lost",4.58,3.46,1.73,2009,"Aachen",0,"(4,5]","DE"
"2009-10-25","D2","Lost",2.06,3.27,3.35,2009,"Aachen",0,"(2,2.5]","DE"
"2009-11-01","D2","Win",3.64,3.3,1.95,2009,"Aachen",1,"(3.5,4]","DE"
"2009-11-09","D2","Win",1.97,3.27,3.59,2009,"Aachen",1,"(1.5,2]","DE"
"2009-11-22","D2","Lost",2.3,3.23,2.9,2009,"Aachen",0,"(2,2.5]","DE"
"2009-11-27","D2","Lost",1.45,3.95,7.19,2009,"Aachen",0,"(1,1.5]","DE"
"2009-12-07","D2","Win",3.35,3.24,2.07,2009,"Aachen",1,"(3,3.5]","DE"
"2009-12-11","D2","Draw",1.88,3.34,3.94,2009,"Aachen",0,"(1.5,2]","DE"
"2009-12-18","D2","Win",3.84,3.33,1.92,2009,"Aachen",1,"(3.5,4]","DE"
"2010-01-15","D2","Win",2.21,3.24,3.09,2009,"Aachen",1,"(2,2.5]","DE"
"2010-01-23","D2","Lost",4.19,3.42,1.79,2009,"Aachen",0,"(4,5]","DE"
"2010-02-01","D2","Lost",2.55,3.14,2.65,2009,"Aachen",0,"(2.5,3]","DE"
"2010-02-07","D2","Draw",2.25,3.22,2.98,2009,"Aachen",0,"(2,2.5]","DE"
"2010-02-13","D2","Win",1.59,3.55,5.53,2009,"Aachen",1,"(1.5,2]","DE"
"2010-02-20","D2","Lost",3.24,3.21,2.15,2009,"Aachen",0,"(3,3.5]","DE"
"2010-03-01","D2","Lost",2.19,3.2,3.12,2009,"Aachen",0,"(2,2.5]","DE"
"2010-03-06","D2","Lost",3.04,3.21,2.22,2009,"Aachen",0,"(3,3.5]","DE"
"2010-03-12","D2","Win",2.63,3.18,2.56,2009,"Aachen",1,"(2.5,3]","DE"
"2010-03-21","D2","Draw",3.01,3.21,2.24,2009,"Aachen",0,"(3,3.5]","DE"
"2010-03-28","D2","Win",2.66,3.19,2.51,2009,"Aachen",1,"(2.5,3]","DE"
"2010-04-04","D2","Lost",3.07,3.21,2.21,2009,"Aachen",0,"(3,3.5]","DE"
"2010-04-09","D2","Draw",1.74,3.45,4.56,2009,"Aachen",0,"(1.5,2]","DE"
"2010-04-18","D2","Win",2.08,3.27,3.28,2009,"Aachen",1,"(2,2.5]","DE"
"2010-04-24","D2","Draw",2.09,3.25,3.29,2009,"Aachen",0,"(2,2.5]","DE"
"2010-05-02","D2","Lost",3.34,3.26,2.06,2009,"Aachen",0,"(3,3.5]","DE"
"2010-05-09","D2","Draw",2.22,3.28,2.97,2009,"Aachen",0,"(2,2.5]","DE"
"2010-08-20","D2","Draw",2.08,3.29,3.33,2010,"Aachen",0,"(2,2.5]","DE"
"2010-08-29","D2","Lost",3.01,3.24,2.22,2010,"Aachen",0,"(3,3.5]","DE"
"2010-09-12","D2","Draw",4.28,3.44,1.78,2010,"Aachen",0,"(4,5]","DE"
"2010-09-17","D2","Lost",2.14,3.37,3.17,2010,"Aachen",0,"(2,2.5]","DE"
"2010-09-21","D2","Win",2.96,3.2,2.31,2010,"Aachen",1,"(2.5,3]","DE"
"2010-09-24","D2","Win",1.81,3.49,4.15,2010,"Aachen",1,"(1.5,2]","DE"
"2010-10-04","D2","Draw",6.34,3.93,1.48,2010,"Aachen",0,"(5,10]","DE"
"2010-10-17","D2","Win",1.67,3.62,4.7,2010,"Aachen",1,"(1.5,2]","DE"
"2010-10-24","D2","Draw",3.4,3.28,2.04,2010,"Aachen",0,"(3,3.5]","DE"
"2010-10-31","D2","Win",1.62,3.68,5.06,2010,"Aachen",1,"(1.5,2]","DE"
"2010-11-07","D2","Lost",3.32,3.28,2.07,2010,"Aachen",0,"(3,3.5]","DE"
"2010-11-14","D2","Draw",2.37,3.22,2.82,2010,"Aachen",0,"(2,2.5]","DE"
"2010-11-21","D2","Lost",3,3.2,2.26,2010,"Aachen",0,"(2.5,3]","DE"
"2010-11-27","D2","Lost",2.42,3.24,2.76,2010,"Aachen",0,"(2,2.5]","DE"
"2010-12-03","D2","Win",2.23,3.31,3.02,2010,"Aachen",1,"(2,2.5]","DE"
"2010-12-10","D2","Draw",2.06,3.28,3.46,2010,"Aachen",0,"(2,2.5]","DE"
"2010-12-17","D2","Win",1.81,3.51,4.17,2010,"Aachen",1,"(1.5,2]","DE"
"2011-01-14","D2","Lost",3,3.27,2.28,2010,"Aachen",0,"(2.5,3]","DE"
"2011-01-22","D2","Win",1.8,3.38,4.18,2010,"Aachen",1,"(1.5,2]","DE"
"2011-01-29","D2","Draw",2.26,3.22,2.97,2010,"Aachen",0,"(2,2.5]","DE"
"2011-02-04","D2","Draw",3.97,3.56,1.83,2010,"Aachen",0,"(3.5,4]","DE"
"2011-02-12","D2","Win",1.85,3.41,3.98,2010,"Aachen",1,"(1.5,2]","DE"
"2011-02-19","D2","Win",2.77,3.22,2.41,2010,"Aachen",1,"(2.5,3]","DE"
"2011-02-26","D2","Lost",2.77,3.27,2.41,2010,"Aachen",0,"(2.5,3]","DE"
"2011-03-06","D2","Lost",2.93,3.21,2.3,2010,"Aachen",0,"(2.5,3]","DE"
"2011-03-13","D2","Lost",2.35,3.27,2.81,2010,"Aachen",0,"(2,2.5]","DE"
"2011-03-19","D2","Win",2.64,3.25,2.51,2010,"Aachen",1,"(2.5,3]","DE"
"2011-04-03","D2","Win",2.07,3.35,3.33,2010,"Aachen",1,"(2,2.5]","DE"
"2011-04-08","D2","Lost",3.11,3.39,2.18,2010,"Aachen",0,"(3,3.5]","DE"
"2011-04-17","D2","Lost",1.9,3.4,3.83,2010,"Aachen",0,"(1.5,2]","DE"
"2011-04-24","D2","Win",6.04,3.97,1.5,2010,"Aachen",1,"(5,10]","DE"
"2011-04-29","D2","Win",1.75,3.67,4.31,2010,"Aachen",1,"(1.5,2]","DE"
"2011-05-08","D2","Lost",3.55,3.43,1.95,2010,"Aachen",0,"(3.5,4]","DE"
"2011-05-15","D2","Draw",1.43,4.17,6.52,2010,"Aachen",0,"(1,1.5]","DE"
"2011-07-16","D2","Lost",3.06,3.27,2.23,2010,"Aachen",0,"(3,3.5]","DE"
"2011-07-24","D2","Lost",2.09,3.32,3.26,2010,"Aachen",0,"(2,2.5]","DE"
"2011-08-05","D2","Lost",5.23,3.81,1.61,2011,"Aachen",0,"(5,10]","DE"
"2011-08-13","D2","Lost",2.21,3.36,2.99,2011,"Aachen",0,"(2,2.5]","DE"
"2011-08-19","D2","Draw",3.72,3.39,1.94,2011,"Aachen",0,"(3.5,4]","DE"
"2011-08-27","D2","Draw",3.02,3.3,2.22,2011,"Aachen",0,"(3,3.5]","DE"
"2011-09-09","D2","Draw",3.06,3.3,2.21,2011,"Aachen",0,"(3,3.5]","DE"
"2011-09-18","D2","Draw",3.6,3.33,1.97,2011,"Aachen",0,"(3.5,4]","DE"
"2011-09-24","D2","Lost",3.55,3.36,1.98,2011,"Aachen",0,"(3.5,4]","DE"
"2011-09-30","D2","Lost",1.82,3.5,4.08,2011,"Aachen",0,"(1.5,2]","DE"
"2011-10-16","D2","Draw",3.51,3.32,2,2011,"Aachen",0,"(3.5,4]","DE"
"2011-10-23","D2","Win",1.95,3.38,3.6,2011,"Aachen",1,"(1.5,2]","DE"
"2011-10-28","D2","Lost",3.88,3.38,1.9,2011,"Aachen",0,"(3.5,4]","DE"
"2011-11-06","D2","Draw",2.22,3.25,3.05,2011,"Aachen",0,"(2,2.5]","DE"
"2011-11-20","D2","Lost",8.99,4.7,1.32,2011,"Aachen",0,"(5,10]","DE"
"2011-11-26","D2","Win",3.02,3.23,2.25,2011,"Aachen",1,"(3,3.5]","DE"
"2011-12-04","D2","Draw",2.48,3.21,2.7,2011,"Aachen",0,"(2,2.5]","DE"
"2011-12-11","D2","Draw",1.86,3.39,3.99,2011,"Aachen",0,"(1.5,2]","DE"
"2011-12-18","D2","Draw",4.29,3.4,1.79,2011,"Aachen",0,"(4,5]","DE"
"2012-02-04","D2","Win",2.85,3.25,2.34,2011,"Aachen",1,"(2.5,3]","DE"
"2012-02-10","D2","Draw",3.21,3.26,2.17,2011,"Aachen",0,"(3,3.5]","DE"
"2012-02-19","D2","Draw",1.84,3.36,4.03,2011,"Aachen",0,"(1.5,2]","DE"
"2012-02-27","D2","Draw",6.26,3.79,1.51,2011,"Aachen",0,"(5,10]","DE"
"2012-03-03","D2","Lost",2.27,3.22,2.97,2011,"Aachen",0,"(2,2.5]","DE"
"2012-03-09","D2","Lost",8.41,4.48,1.36,2011,"Aachen",0,"(5,10]","DE"
"2012-03-16","D2","Lost",2.51,3.26,2.68,2011,"Aachen",0,"(2.5,3]","DE"
"2012-03-23","D2","Lost",3.36,3.31,2.1,2011,"Aachen",0,"(3,3.5]","DE"
"2012-03-30","D2","Lost",2.05,3.44,3.36,2011,"Aachen",0,"(2,2.5]","DE"
"2012-04-08","D2","Draw",3.67,3.39,1.94,2011,"Aachen",0,"(3.5,4]","DE"
"2012-04-11","D2","Win",2.14,3.31,3.16,2011,"Aachen",1,"(2,2.5]","DE"
"2012-04-14","D2","Lost",3.81,3.37,1.91,2011,"Aachen",0,"(3.5,4]","DE"
"2012-04-23","D2","Lost",4.6,3.67,1.69,2011,"Aachen",0,"(4,5]","DE"
"2012-04-29","D2","Win",2.35,3.33,2.78,2011,"Aachen",1,"(2,2.5]","DE"
"2012-05-06","D2","Win",3.06,3.58,2.08,2011,"Aachen",1,"(3,3.5]","DE"
"2012-08-05","D2","Win",4.7,3.56,1.69,2012,"Aalen",1,"(4,5]","DE"
"2012-08-10","D2","Lost",3.04,3.3,2.23,2012,"Aalen",0,"(3,3.5]","DE"
"2012-08-26","D2","Win",3.67,3.38,1.94,2012,"Aalen",1,"(3.5,4]","DE"
"2012-09-01","D2","Lost",2.66,3.22,2.52,2012,"Aalen",0,"(2.5,3]","DE"
"2012-09-16","D2","Lost",6.44,4.03,1.47,2012,"Aalen",0,"(5,10]","DE"
"2012-09-21","D2","Win",2.05,3.3,3.5,2012,"Aalen",1,"(2,2.5]","DE"
"2012-09-25","D2","Win",5.21,3.66,1.64,2012,"Aalen",1,"(5,10]","DE"
"2012-09-28","D2","Win",2.25,3.29,3.06,2012,"Aalen",1,"(2,2.5]","DE"
"2012-10-07","D2","Lost",2.77,3.23,2.45,2012,"Aalen",0,"(2.5,3]","DE"
"2012-10-21","D2","Draw",2.26,3.2,3.09,2012,"Aalen",0,"(2,2.5]","DE"
"2012-10-26","D2","Lost",3.27,3.28,2.17,2012,"Aalen",0,"(3,3.5]","DE"
"2012-11-04","D2","Win",2.63,3.22,2.59,2012,"Aalen",1,"(2.5,3]","DE"
"2012-11-10","D2","Draw",4.16,3.42,1.84,2012,"Aalen",0,"(4,5]","DE"
"2012-11-17","D2","Lost",2.44,3.24,2.78,2012,"Aalen",0,"(2,2.5]","DE"
"2012-11-23","D2","Win",2.82,3.21,2.46,2012,"Aalen",1,"(2.5,3]","DE"
"2012-11-27","D2","Draw",3.32,3.29,2.14,2012,"Aalen",0,"(3,3.5]","DE"
"2012-11-30","D2","Draw",2.52,3.21,2.74,2012,"Aalen",0,"(2.5,3]","DE"
"2012-12-07","D2","Lost",2.04,3.27,3.62,2012,"Aalen",0,"(2,2.5]","DE"
"2012-12-14","D2","Win",6.5,3.82,1.52,2012,"Aalen",1,"(5,10]","DE"
"2013-02-01","D2","Draw",2.2,3.26,3.23,2012,"Aalen",0,"(2,2.5]","DE"
"2013-02-08","D2","Draw",5.26,3.58,1.66,2012,"Aalen",0,"(5,10]","DE"
"2013-02-16","D2","Lost",4.21,3.41,1.84,2012,"Aalen",0,"(4,5]","DE"
"2013-02-22","D2","Draw",2.89,3.19,2.43,2012,"Aalen",0,"(2.5,3]","DE"
"2013-03-03","D2","Lost",2.37,3.15,2.97,2012,"Aalen",0,"(2,2.5]","DE"
"2013-03-08","D2","Lost",2.96,3.21,2.38,2012,"Aalen",0,"(2.5,3]","DE"
"2013-03-17","D2","Draw",1.85,3.4,4.13,2012,"Aalen",0,"(1.5,2]","DE"
"2013-03-28","D2","Draw",3.84,3.31,1.97,2012,"Aalen",0,"(3.5,4]","DE"
"2013-04-05","D2","Win",2.24,3.21,3.19,2012,"Aalen",1,"(2,2.5]","DE"
"2013-04-14","D2","Lost",6.01,3.83,1.54,2012,"Aalen",0,"(5,10]","DE"
"2013-04-19","D2","Win",2.42,3.24,2.87,2012,"Aalen",1,"(2,2.5]","DE"
"2013-04-28","D2","Draw",3.21,3.26,2.19,2012,"Aalen",0,"(3,3.5]","DE"
"2013-05-03","D2","Win",1.7,3.65,4.78,2012,"Aalen",1,"(1.5,2]","DE"
"2013-05-12","D2","Win",2.92,3.26,2.35,2012,"Aalen",1,"(2.5,3]","DE"
"2013-05-19","D2","Lost",3.55,3.43,1.98,2012,"Aalen",0,"(3.5,4]","DE"
"2013-07-19","D2","Draw",2.5,3.21,2.79,2012,"Aalen",0,"(2,2.5]","DE"
"2013-07-26","D2","Lost",3.51,3.33,2.05,2012,"Aalen",0,"(3.5,4]","DE"
"2013-08-11","D2","Win",3.24,3.24,2.18,2013,"Aalen",1,"(3,3.5]","DE"
"2013-08-18","D2","Lost",3.92,3.45,1.89,2013,"Aalen",0,"(3.5,4]","DE"
"2013-08-24","D2","Win",3.79,3.38,1.93,2013,"Aalen",1,"(3.5,4]","DE"
"2013-09-01","D2","Draw",3.6,3.27,2.03,2013,"Aalen",0,"(3.5,4]","DE"
"2013-09-13","D2","Draw",2.39,3.24,2.93,2013,"Aalen",0,"(2,2.5]","DE"
"2013-09-21","D2","Win",4.19,3.5,1.81,2013,"Aalen",1,"(4,5]","DE"
"2013-09-27","D2","Lost",3.4,3.33,2.11,2013,"Aalen",0,"(3,3.5]","DE"
"2013-10-05","D2","Lost",3.14,3.27,2.21,2013,"Aalen",0,"(3,3.5]","DE"
"2013-10-18","D2","Win",2.03,3.31,3.6,2013,"Aalen",1,"(2,2.5]","DE"
"2013-10-26","D2","Draw",3.53,3.34,2.01,2013,"Aalen",0,"(3.5,4]","DE"
"2013-11-01","D2","Win",2.54,3.2,2.74,2013,"Aalen",1,"(2.5,3]","DE"
"2013-11-08","D2","Lost",3.16,3.23,2.25,2013,"Aalen",0,"(3,3.5]","DE"
"2013-11-24","D2","Lost",2.52,3.17,2.74,2013,"Aalen",0,"(2.5,3]","DE"
"2013-11-29","D2","Win",4.81,3.58,1.71,2013,"Aalen",1,"(4,5]","DE"
"2013-12-08","D2","Lost",2.07,3.3,3.41,2013,"Aalen",0,"(2,2.5]","DE"
"2013-12-13","D2","Draw",2.01,3.31,3.66,2013,"Aalen",0,"(2,2.5]","DE"
"2013-12-22","D2","Lost",5.56,3.89,1.56,2013,"Aalen",0,"(5,10]","DE"
"2014-02-07","D2","Draw",2.35,3.18,3.08,2013,"Aalen",0,"(2,2.5]","DE"
"2014-02-16","D2","Draw",2.27,3.22,3.1,2013,"Aalen",0,"(2,2.5]","DE"
"2014-02-23","D2","Win",9.38,4.78,1.32,2013,"Aalen",1,"(5,10]","DE"
"2014-03-02","D2","Win",2.65,3.12,2.66,2013,"Aalen",1,"(2.5,3]","DE"
"2014-03-07","D2","Lost",3.46,3.2,2.14,2013,"Aalen",0,"(3,3.5]","DE"
"2014-03-14","D2","Lost",2.28,3.21,3.14,2013,"Aalen",0,"(2,2.5]","DE"
"2014-03-22","D2","Draw",7.75,4.41,1.4,2013,"Aalen",0,"(5,10]","DE"
"2014-03-25","D2","Draw",2.53,3.19,2.79,2013,"Aalen",0,"(2.5,3]","DE"
"2014-03-30","D2","Draw",3.43,3.26,2.11,2013,"Aalen",0,"(3,3.5]","DE"
"2014-04-04","D2","Win",2.44,3.18,2.91,2013,"Aalen",1,"(2,2.5]","DE"
"2014-04-13","D2","Lost",3.62,3.28,2.04,2013,"Aalen",0,"(3.5,4]","DE"
"2014-04-20","D2","Draw",2.7,3.08,2.64,2013,"Aalen",0,"(2.5,3]","DE"
"2014-04-27","D2","Win",4.17,3.5,1.82,2013,"Aalen",1,"(4,5]","DE"
"2014-05-04","D2","Win",2.53,3.34,2.62,2013,"Aalen",1,"(2.5,3]","DE"
"2014-05-11","D2","Lost",8.86,5.25,1.3,2013,"Aalen",0,"(5,10]","DE"
"2014-08-02","D2","Draw",5.21,3.67,1.64,2014,"Aalen",0,"(5,10]","DE"
"2014-08-08","D2","Win",2.58,3.16,2.74,2014,"Aalen",1,"(2.5,3]","DE"
"2014-08-24","D2","Lost",3.42,3.19,2.13,2014,"Aalen",0,"(3,3.5]","DE"
"2014-08-29","D2","Draw",3.66,3.32,2.04,2014,"Aalen",0,"(3.5,4]","DE"
"2014-09-12","D2","Lost",4.93,3.47,1.74,2014,"Aalen",0,"(4,5]","DE"
"2014-09-19","D2","Lost",2.11,3.27,3.49,2014,"Aalen",0,"(2,2.5]","DE"
"2014-09-23","D2","Draw",6.82,4.06,1.49,2014,"Aalen",0,"(5,10]","DE"
"2014-09-26","D2","Lost",2.82,3.19,2.49,2014,"Aalen",0,"(2.5,3]","DE"
"2014-10-03","D2","Win",2.48,3.23,2.81,2014,"Aalen",1,"(2,2.5]","DE"
"2014-10-19","D2","Draw",5.95,3.68,1.58,2014,"Aalen",0,"(5,10]","DE"
"2014-10-24","D2","Lost",2.3,3.24,3.07,2014,"Aalen",0,"(2,2.5]","DE"
"2014-11-02","D2","Lost",4.99,3.61,1.68,2014,"Aalen",0,"(4,5]","DE"
"2014-11-07","D2","Lost",2.25,3.32,3.12,2014,"Aalen",0,"(2,2.5]","DE"
"2014-11-21","D2","Lost",3.93,3.39,1.94,2014,"Aalen",0,"(3.5,4]","DE"
"2014-11-29","D2","Win",3.19,3.23,2.23,2014,"Aalen",1,"(3,3.5]","DE"
"2014-12-05","D2","Win",4.6,3.5,1.78,2014,"Aalen",1,"(4,5]","DE"
"2014-12-14","D2","Lost",2.67,3.14,2.65,2014,"Aalen",0,"(2.5,3]","DE"
"2014-12-17","D2","Draw",3.3,3.16,2.22,2014,"Aalen",0,"(3,3.5]","DE"
"2014-12-20","D2","Lost",3.28,3.3,2.16,2014,"Aalen",0,"(3,3.5]","DE"
"2015-02-06","D2","Draw",3.35,3.05,2.26,2014,"Aalen",0,"(3,3.5]","DE"
"2015-02-14","D2","Lost",8,4.47,1.39,2014,"Aalen",0,"(5,10]","DE"
"2015-02-20","D2","Draw",4.2,3.2,1.93,2014,"Aalen",0,"(4,5]","DE"
"2015-02-28","D2","Lost",3.16,3.1,2.32,2014,"Aalen",0,"(3,3.5]","DE"
"2015-03-07","D2","Draw",2.93,3.06,2.48,2014,"Aalen",0,"(2.5,3]","DE"
"2015-03-15","D2","Win",2.19,3.15,3.33,2014,"Aalen",1,"(2,2.5]","DE"
"2015-03-20","D2","Draw",3.16,3.2,2.27,2014,"Aalen",0,"(3,3.5]","DE"
"2015-04-05","D2","Draw",3.48,3.14,2.13,2014,"Aalen",0,"(3,3.5]","DE"
"2015-04-12","D2","Draw",3.28,3.29,2.16,2014,"Aalen",0,"(3,3.5]","DE"
"2015-04-18","D2","Win",2.76,3.12,2.57,2014,"Aalen",1,"(2.5,3]","DE"
"2015-04-26","D2","Draw",2.67,3.21,2.59,2014,"Aalen",0,"(2.5,3]","DE"
"2015-05-03","D2","Lost",1.99,3.44,3.58,2014,"Aalen",0,"(1.5,2]","DE"
"2015-05-08","D2","Win",2.7,3.3,2.51,2014,"Aalen",1,"(2.5,3]","DE"
"2015-05-17","D2","Lost",1.84,3.57,4.03,2014,"Aalen",0,"(1.5,2]","DE"
"2015-05-24","D2","Lost",4.91,4,1.62,2014,"Aalen",0,"(4,5]","DE"
"2017-04-02","Allsvenskan","Lost",3.09,3.32,2.28,2017,"AFC Eskilstuna",0,"(3,3.5]","SE"
"2017-04-08","Allsvenskan","Draw",2.81,3.31,2.46,2017,"AFC Eskilstuna",0,"(2.5,3]","SE"
"2017-04-17","Allsvenskan","Draw",10.48,5.59,1.27,2017,"AFC Eskilstuna",0,"(10,100]","SE"
"2017-04-23","Allsvenskan","Draw",2.08,3.4,3.45,2017,"AFC Eskilstuna",0,"(2,2.5]","SE"
"2017-04-26","Allsvenskan","Lost",4.42,3.66,1.77,2017,"AFC Eskilstuna",0,"(4,5]","SE"
"2017-04-29","Allsvenskan","Lost",6.09,4.12,1.52,2017,"AFC Eskilstuna",0,"(5,10]","SE"
"2017-05-07","Allsvenskan","Lost",5.33,3.62,1.67,2017,"AFC Eskilstuna",0,"(5,10]","SE"
"2017-05-12","Allsvenskan","Lost",5.36,4.24,1.56,2017,"AFC Eskilstuna",0,"(5,10]","SE"
"2017-05-18","Allsvenskan","Lost",7.6,5.22,1.35,2017,"AFC Eskilstuna",0,"(5,10]","SE"
"2017-05-21","Allsvenskan","Draw",5.68,4.15,1.54,2017,"AFC Eskilstuna",0,"(5,10]","SE"
"2017-05-27","Allsvenskan","Lost",9.99,5.73,1.27,2017,"AFC Eskilstuna",0,"(5,10]","SE"
"2017-06-04","Allsvenskan","Lost",5.99,3.69,1.6,2017,"AFC Eskilstuna",0,"(5,10]","SE"
"2017-07-01","Allsvenskan","Lost",18.72,8.38,1.13,2017,"AFC Eskilstuna",0,"(10,100]","SE"
"2017-07-08","Allsvenskan","Lost",6.58,4.34,1.47,2017,"AFC Eskilstuna",0,"(5,10]","SE"
"2017-07-15","Allsvenskan","Win",2.68,3.21,2.62,2017,"AFC Eskilstuna",1,"(2.5,3]","SE"
"2017-07-23","Allsvenskan","Lost",4.65,3.6,1.75,2017,"AFC Eskilstuna",0,"(4,5]","SE"
"2017-07-31","Allsvenskan","Lost",6.98,4.51,1.43,2017,"AFC Eskilstuna",0,"(5,10]","SE"
"2017-08-07","Allsvenskan","Lost",9.44,5.71,1.28,2017,"AFC Eskilstuna",0,"(5,10]","SE"
"2017-08-13","Allsvenskan","Draw",12.02,5.64,1.25,2017,"AFC Eskilstuna",0,"(10,100]","SE"
"2017-08-19","Allsvenskan","Win",7.97,4.74,1.38,2017,"AFC Eskilstuna",1,"(5,10]","SE"
"2017-08-26","Allsvenskan","Draw",4.33,3.71,1.78,2017,"AFC Eskilstuna",0,"(4,5]","SE"
"2017-09-09","Allsvenskan","Lost",8.21,4.76,1.37,2017,"AFC Eskilstuna",0,"(5,10]","SE"
"2017-09-18","Allsvenskan","Lost",2.71,3.23,2.59,2017,"AFC Eskilstuna",0,"(2.5,3]","SE"
"2017-09-21","Allsvenskan","Win",5.42,4.4,1.54,2017,"AFC Eskilstuna",1,"(5,10]","SE"
"2017-09-25","Allsvenskan","Win",3.3,3.63,2.08,2017,"AFC Eskilstuna",1,"(3,3.5]","SE"
"2017-09-30","Allsvenskan","Draw",2.28,3.31,3.15,2017,"AFC Eskilstuna",0,"(2,2.5]","SE"
"2017-10-14","Allsvenskan","Lost",7.02,4.82,1.41,2017,"AFC Eskilstuna",0,"(5,10]","SE"
"2017-10-21","Allsvenskan","Lost",2.93,3.68,2.24,2017,"AFC Eskilstuna",0,"(2.5,3]","SE"
"2017-10-28","Allsvenskan","Draw",3.77,3.69,1.9,2017,"AFC Eskilstuna",0,"(3.5,4]","SE"
"2017-11-05","Allsvenskan","Lost",2.67,3.64,2.44,2017,"AFC Eskilstuna",0,"(2.5,3]","SE"
"2008-08-17","D2","Win",2.12,3.23,3.09,2008,"Ahlen",1,"(2,2.5]","DE"
"2008-08-24","D2","Lost",3.7,3.27,1.91,2008,"Ahlen",0,"(3.5,4]","DE"
